"TableName","RowCount","ColumnCount","Columns"
"GrandBillDetailscopy","13209","14","BILLNO (INTEGER), TABLE_NO (TEXT), SRNO (INTEGER), ITEM (TEXT), QTY (INTEGER), RATE (INTEGER), AMT (INTEGER), DATE (TIMESTAMP), DEPT (TEXT), TYPE (TEXT), UNIT (INTEGER), PACKING (TEXT), BRAND (TEXT), SECTIONS (TEXT)"
"GrandBillDetailscopy_Dayend","0","14","BILLNO (INTEGER), TABLE_NO (TEXT), SRNO (INTEGER), ITEM (TEXT), QTY (INTEGER), RATE (INTEGER), AMT (INTEGER), DATE (TIMESTAMP), DEPT (TEXT), TYPE (TEXT), UNIT (INTEGER), PACKING (TEXT), BRAND (TEXT), SECTIONS (TEXT)"
"HotelInfo","1","16","code (INTEGER), name (TEXT), address (TEXT), city (TEXT), licno (TEXT), RuleUsed (TEXT), RuleHeading (TEXT), Vattin (TEXT), upi_id (TEXT), BankAcName (TEXT), beer (TEXT), Exciseaddress (TEXT), exname (TEXT), exadd (TEXT), AdminMobile (TEXT), Email (TEXT)"
"item","1607","19","code (TEXT), item (TEXT), stock (TEXT), dept (TEXT), type (TEXT), unit (INTEGER), packing (TEXT), salerate (INTEGER), exciserate (INTEGER), purchaserate (INTEGER), bottel (INTEGER), openingstock (INTEGER), FAMILYRATE (INTEGER), VIPRATE (INTEGER), ACRATE (INTEGER), WHOLESALE (INTEGER), BRAND (TEXT), Marathi (TEXT), IT_CODE (TEXT)"
"ItemDept","39","6","code (INTEGER), name (TEXT), child (INTEGER), setup (INTEGER), id (INTEGER), printer (TEXT)"
"k","0","3","ID (INTEGER), PATH (TEXT), TYPE (TEXT)"
"KOT","0","8","BILLNO (INTEGER), TABLE_NO (TEXT), SRNO (INTEGER), ITEM (TEXT), QTY (INTEGER), RATE (INTEGER), AMT (INTEGER), DEPT (TEXT)"
"KOTDETAIL","19382","9","TABLE_NO (TEXT), WAITER (TEXT), SRNO (INTEGER), ITEM (TEXT), QTY (INTEGER), RATE (INTEGER), AMT (INTEGER), DATE (TIMESTAMP), KOTNO (TEXT)"
"KOTDETAIL_DAYEND","3031","9","TABLE_NO (TEXT), WAITER (TEXT), SRNO (INTEGER), ITEM (TEXT), QTY (INTEGER), RATE (INTEGER), AMT (INTEGER), DATE (TIMESTAMP), KOTNO (TEXT)"
"KOTFINAL","10625","6","KOTNO (TEXT), TABLE_NO (TEXT), WAITER (TEXT), TOTAL (INTEGER), DATE (TIMESTAMP), DAYKOT (TEXT)"
"KOTFINAL_DAYEND","2393","6","KOTNO (TEXT), TABLE_NO (TEXT), WAITER (TEXT), TOTAL (INTEGER), DATE (TIMESTAMP), DAYKOT (TEXT)"
"KOTTEMP","0","9","TABLE_NO (TEXT), WAITER (TEXT), SRNO (INTEGER), ITEM (TEXT), QTY (INTEGER), RATE (INTEGER), AMT (INTEGER), DATE (TIMESTAMP), DEPT (TEXT)"
"KOTTOTAL","1","2","ID (INTEGER), TOTAL (INTEGER)"
